biosample_acc,asm_acc,collection_date,meropenem,gentamicin,ciprofloxacin,trimethoprim-sulfamethoxazole,cefoxitin
SAMN26101451,GCA_022429405.1,2019-07-03,,ND,,ND,
SAMN26101449,GCA_023467355.1,2019-01-04,,ND,,ND,
SAMN26101446,GCA_022431225.1,2019-09-05,,ND,,ND,
SAMN26101444,GCA_022429685.1,2019-03-15,,ND,,ND,
SAMN26101540,GCA_022430605.1,2020-07-27,,ND,,ND,
SAMN26101537,GCA_022429745.1,2020-09-17,,ND,,ND,
SAMN26101536,GCA_022431185.1,2020-12-18,,ND,,ND,
SAMN26101533,GCA_022430965.1,2020-02-06,,ND,,ND,
SAMN26101530,GCA_022430185.1,2020-02,,ND,,ND,
SAMN26101523,GCA_022430765.1,2020-06,,ND,,ND,
SAMN26101522,GCA_022430725.1,2020-03,,ND,,ND,
SAMN26101521,GCA_022430345.1,2020-02,,ND,,ND,
SAMN26101520,GCA_022431205.1,2020-12-02,,ND,,ND,
SAMN26101519,GCA_022430665.1,2020-07-16,,ND,,ND,
SAMN26101418,GCA_022429445.1,2019-09-04,,ND,,ND,
SAMN27670562,GCA_023070275.1,2020-12-21,,ND,,ND,
SAMN27670561,GCA_023070235.1,2020-10-30,,ND,,ND,
SAMN27670560,GCA_023070195.1,2020-12,,ND,,ND,
SAMN27670559,GCA_023070215.1,2020-09-09,,ND,,ND,
SAMN27670556,GCA_023070135.1,2019-09-08,,ND,,ND,
SAMN29928034,GCA_024580135.1,2019-07-11,R,R,R,R,R
SAMN29928037,GCA_024580195.1,2019-09-26,R,S,R,R,R
SAMN29928035,GCA_024580215.1,2019-11-07,R,R,R,R,R
SAMN29928033,GCA_024580225.1,2019-01-27,S,I,R,R,R
SAMN30333623,GCA_024734755.1,2022-04,S,S,,,
SAMN30466961,GCA_025200575.1,2013-10-04,,S,S,R,S
SAMN30886169,GCA_025367465.1,2021-09-29,R,R,R,,
SAMN30886168,GCA_025367575.1,2021-08-31,R,R,R,,
SAMN31774407,GCA_027144125.4,2022,R,S,R,S,R
SAMN30926478,GCA_026413095.1,2019,R,S,S,,
SAMN34111336,GCA_029621445.1,2020,R,,,R,R
SAMN34535840,GCA_030026945.2,2017-07-09,R,R,R,,
SAMN35219277,GCA_031046795.2,2022,S,S,R,S,R
SAMN35219276,GCA_031046835.2,2021,R,S,I,S,R
SAMN35219275,GCA_031046775.2,2022,S,S,S,S,I
SAMN35219273,GCA_031046755.2,2022,S,S,S,S,I
SAMN35159660,GCA_031046615.1,2022,S,S,R,S,S
SAMN35159658,GCA_031046555.2,2022,S,S,S,S,R
SAMN35159657,GCA_031046515.2,2022,R,S,S,S,R
SAMN35159654,GCA_031046495.2,2022,S,S,S,R,S
SAMN35159653,GCA_031046475.2,2022,S,S,R,R,S
SAMN35159652,GCA_031046455.2,2022,S,S,S,S,S
SAMN35159651,GCA_031046415.2,2022,S,R,R,R,S
SAMN35159650,GCA_031046435.2,2022,S,S,S,S,S
SAMN35159649,GCA_031046375.2,2022,S,R,R,R,S
SAMN35159648,GCA_031046395.2,2022,S,R,R,R,S
SAMN35159647,GCA_031046355.2,2022,S,R,S,R,S
SAMN35159644,GCA_031046255.2,2022,S,R,R,R,S
SAMN35159643,GCA_031046335.2,2022,S,R,R,R,S
SAMN35159642,GCA_031046215.2,2022,S,R,R,R,S
SAMN35159641,GCA_031046235.2,2022,,S,I,S,R
SAMN35159640,GCA_031046195.2,2022,S,R,R,R,S
SAMN35159639,GCA_031046175.2,2022,R,S,R,R,R
SAMN35159638,GCA_031046155.2,2022,R,S,R,R,R
SAMN35159637,GCA_031046115.2,2022,S,R,R,R,R
SAMN35159636,GCA_031046135.2,2022,S,R,R,R,S
SAMN35159635,GCA_031046095.1,2022,S,S,R,S,S
SAMN35159662,GCA_031046055.2,2022,S,R,R,R,S
SAMN35159661,GCA_031046035.2,2022,S,R,R,R,S
SAMN35159609,GCA_031045995.2,2022,S,R,R,R,S
SAMN35159607,GCA_031046015.2,2022,S,S,S,R,S
SAMN35159606,GCA_031045975.2,2022,,S,R,R,R
SAMN35159605,GCA_031045935.2,2022,,S,R,R,R
SAMN35159604,GCA_031045905.2,2022,,S,R,R,R
SAMN35159603,GCA_031045895.2,2022,S,S,S,R,R
SAMN35159602,GCA_031045875.2,2022,R,R,R,R,R
SAMN35159601,GCA_031045855.2,2022,R,R,I,R,R
SAMN35159600,GCA_031045835.2,2022,S,S,R,R,R
SAMN35159599,GCA_031045815.2,2022,S,R,S,S,S
SAMN35159596,GCA_031045755.2,2022,S,R,R,R,S
SAMN35159595,GCA_031045735.2,2022,S,S,I,R,S
SAMN35159568,GCA_031045695.2,2023,S,R,R,R,S
SAMN35159594,GCA_031045675.2,2022,S,R,S,R,S
SAMN35159593,GCA_031045715.2,2022,R,R,S,R,R
SAMN35159592,GCA_031045635.2,2022,S,S,I,S,S
SAMN35159591,GCA_031045615.1,2023,S,S,R,R,S
SAMN35159590,GCA_031045595.2,2023,S,S,R,R,S
SAMN35159589,GCA_031045555.2,2023,S,S,S,S,R
SAMN35159588,GCA_031045535.1,2023,S,S,R,R,S
SAMN35159587,GCA_031045655.2,2023,S,R,R,R,S
SAMN35159586,GCA_031045575.2,2023,S,R,R,R,S
SAMN35159567,GCA_031045515.2,2023,S,R,R,R,S
SAMN35159634,GCA_031045475.2,2022,S,I,R,S,R
SAMN35159633,GCA_031045415.2,2022,S,S,R,R,S
SAMN35159632,GCA_031045455.2,2022,S,R,R,R,S
SAMN35159631,GCA_031045435.2,2022,S,S,R,R,S
SAMN35159630,GCA_031045375.2,2022,S,S,R,R,S
SAMN35159627,GCA_031045325.2,2022,S,S,S,S,R
SAMN35159571,GCA_031045355.2,2023,S,S,R,S,S
SAMN35159624,GCA_031045275.2,2022,S,R,R,R,S
SAMN35159623,GCA_031045295.2,2022,S,S,R,S,S
SAMN35159622,GCA_031045255.2,2022,S,R,R,R,S
SAMN35159621,GCA_031045235.2,2021,S,S,S,S,S
SAMN35159620,GCA_031045155.2,2022,S,R,R,R,S
SAMN35159619,GCA_031045135.2,2022,S,S,R,R,S
SAMN35159617,GCA_031045075.2,2022,S,S,R,R,S
SAMN35159615,GCA_031045065.2,2021,R,S,R,R,R
SAMN35159570,GCA_031045035.2,2023,R,R,R,R,R
SAMN35159614,GCA_031044975.2,2022,S,R,R,R,R
SAMN35159613,GCA_031045015.2,2021,R,S,R,R,R
SAMN35159612,GCA_031044995.2,2022,R,S,R,S,R
SAMN35159610,GCA_031044915.2,2021,,S,R,R,R
SAMN35159584,GCA_031044875.2,2023,S,R,R,R,S
SAMN35159582,GCA_031044895.2,2023,S,R,R,R,R
SAMN35159581,GCA_031044835.2,2023,R,R,R,R,R
SAMN35159580,GCA_031044935.2,2023,S,R,I,R,S
SAMN35159578,GCA_031044795.1,2023,S,R,R,R,S
SAMN35159577,GCA_031044815.2,2023,S,R,I,R,S
SAMN35159682,GCA_031044775.2,2022,S,S,R,S,S
SAMN35159681,GCA_031044735.2,2023,S,S,R,R,S
SAMN35159680,GCA_031044755.2,2023,S,S,R,S,S
SAMN35159679,GCA_031044715.2,2023,S,R,R,R,I
SAMN35159678,GCA_031044675.2,2023,S,S,I,R,S
SAMN35159677,GCA_031044655.2,2022,S,S,S,S,R
SAMN35159676,GCA_031044635.2,2022,S,S,R,S,S
SAMN35159674,GCA_031044695.2,2022,S,R,R,R,S
SAMN35159672,GCA_031044555.2,2022,S,R,R,R,S
SAMN35159670,GCA_031044515.2,2022,S,S,R,R,S
SAMN35159666,GCA_031044495.1,2022,S,R,R,R,S
SAMN35159665,GCA_031044435.2,2022,R,S,S,S,R
SAMN35159566,GCA_031044415.2,2023,S,R,R,R,S
SAMN35159565,GCA_031044475.2,2023,S,R,R,R,R
SAMN30806197,GCA_030128905.1,2020-01,R,S,R,R,I
SAMN30806199,GCA_030128965.1,2020-04,S,S,R,R,S
SAMN30806198,GCA_030128995.1,2020-01,R,S,R,R,R
SAMN34111340,GCA_031039775.1,2020,R,,,R,R
SAMN34111349,GCA_031034115.1,2022,R,,,R,R
SAMN36726405,GCA_031013835.2,2023,S,S,R,R,S
SAMN36727327,GCA_031013825.2,2023,,S,R,R,R
SAMN36727322,GCA_031013865.2,2023,S,S,R,R,S
SAMN36727339,GCA_031013805.2,2023,S,S,R,S,S
SAMN36727284,GCA_031013785.2,2023,S,S,,S,
SAMN36729193,GCA_031013725.2,2023,S,S,R,S,S
SAMN36728899,GCA_031013665.2,2023,S,S,I,R,S
SAMN36729175,GCA_033200535.2,2023,S,S,S,R,S
SAMN36892889,GCA_031010025.2,2023,S,R,R,R,S
SAMN36892884,GCA_031010045.2,2023,S,S,S,S,R
SAMN36892861,GCA_031010005.2,2023,S,S,R,S,R
SAMN37516882,GCA_032124915.2,2023,S,S,R,R,S
SAMN37516937,GCA_032122855.2,2023,S,R,S,R,S
SAMN37516935,GCA_032122875.2,2023,S,S,R,R,S
SAMN37516928,GCA_032182165.2,2023,S,S,R,S,S
SAMN37516910,GCA_032121595.2,2023,S,R,S,R,S
SAMN37516907,GCA_032121395.2,2023,S,S,R,R,S
SAMN37516898,GCA_032121155.2,2023,S,R,S,R,S
SAMN37516894,GCA_032120635.2,2023,S,S,S,S,R
SAMN37516885,GCA_032120255.2,2023,S,S,S,S,S
SAMN37516883,GCA_032120235.2,2023,S,S,R,R,S
SAMN37300943,GCA_032463405.1,2021-05-03,S,S,S,R,S
SAMN38228868,GCA_033726915.1,2023,S,R,R,R,S
SAMN38228851,GCA_033726815.1,2023,R,R,R,R,S
SAMN38228847,GCA_034498995.1,2023,S,R,S,R,S
SAMN38228839,GCA_034498895.1,2023,S,S,I,R,S
SAMN38228838,GCA_034515705.1,2023,S,R,R,R,R
SAMN38228811,GCA_034499015.1,2023,S,R,R,S,I
SAMN38228823,GCA_033726495.1,2023,S,R,R,R,S
SAMN38228821,GCA_034515585.1,2023,S,R,R,R,S
SAMN38228812,GCA_034515785.1,2023,S,R,R,R,R
SAMN39956422,GCA_036669215.1,2024,R,S,R,R,R
SAMN39956415,GCA_036668515.1,2024,S,S,S,S,S
SAMN29928043,GCA_037287365.1,2020,S,S,S,R,S
SAMN40563625,GCA_037725565.2,2022,R,R,,,
SAMN40930636,GCA_038083435.1,2024,R,S,S,S,R
SAMN40930671,GCA_038080515.1,2024,S,S,R,S,R
SAMN40930635,GCA_038080535.1,2024,,R,R,R,S
SAMN40930668,GCA_038081555.1,2024,S,R,R,R,S
SAMN40930634,GCA_038080395.1,2024,,R,R,R,S
SAMN40930641,GCA_038080075.1,2024,S,S,S,S,S
SAMN41091868,GCA_038512135.1,2024,R,R,R,R,R
SAMN41091862,GCA_038513665.1,2024,S,S,R,R,S
SAMN41558525,GCA_045490555.1,2023-09-08,S,S,I,R,S
SAMN41558523,GCA_045490475.1,2023-06-05,S,S,S,S,S
SAMN41558517,GCA_045490455.1,2023-06-05,S,S,I,R,S
SAMN41558515,GCA_045490435.1,2023-06-05,S,S,I,R,S
SAMN41558531,GCA_045490265.1,2023-06-15,S,S,I,R,S
SAMN41558528,GCA_045490195.1,2023-09-08,S,S,I,S,S
SAMN41558502,GCA_045490175.1,2023-03-20,S,S,I,S,R
SAMN41558500,GCA_045490155.1,2023-03-20,S,S,S,S,R
SAMN41558499,GCA_045490115.1,2023-03-20,S,S,I,S,R
SAMN41558497,GCA_045490105.1,2023-03-20,S,R,R,R,S
SAMN41558488,GCA_045489995.1,2023-05-16,S,S,I,R,R
SAMN41558476,GCA_045490015.1,2022-12-08,S,S,I,R,R
SAMN43765591,GCA_043905625.1,2022,R,R,R,S,
SAMN43765590,GCA_043905645.1,2022,R,R,R,R,
SAMN43765589,GCA_043905585.1,2022,R,R,R,R,
SAMN43765588,GCA_043905665.1,2022,R,R,R,R,
SAMN43765587,GCA_043905605.1,2022,R,R,R,R,
SAMN43765586,GCA_043905545.1,2022,R,R,R,R,
SAMN43765505,GCA_043905525.1,2011,S,R,R,R,
SAMN43765585,GCA_043905505.1,2022,R,R,R,S,
SAMN43765584,GCA_043905485.1,2022,R,R,R,R,
SAMN43765583,GCA_043905565.1,2021,I,R,R,R,
SAMN43765582,GCA_043905465.1,2021,R,R,R,R,
SAMN43765581,GCA_043905425.1,2021,R,R,R,R,
SAMN43765580,GCA_043905405.1,2021,R,R,R,I,
SAMN43765579,GCA_043905445.1,2021,R,R,R,R,
SAMN43765578,GCA_043905345.1,2021,R,R,R,R,
SAMN43765577,GCA_043905385.1,2021,R,R,R,I,
SAMN43765576,GCA_043905355.1,2020,R,R,R,S,
SAMN43765504,GCA_043905305.1,2010,S,R,R,R,
SAMN43765575,GCA_043905285.1,2020,S,R,R,R,
SAMN43765574,GCA_043905325.1,2020,R,R,R,S,
SAMN43765573,GCA_043905265.1,2020,R,R,R,R,
SAMN43765572,GCA_043905245.1,2020,R,R,R,S,
SAMN43765571,GCA_043905225.1,2020,R,R,R,R,
SAMN43765570,GCA_043905185.1,2020,R,R,R,R,
SAMN43765569,GCA_043905145.1,2019,R,R,R,S,
SAMN43765568,GCA_043905165.1,2019,R,R,R,S,
SAMN43765567,GCA_043904905.1,2019,R,R,R,S,
SAMN43765566,GCA_043904885.1,2019,R,R,R,R,
SAMN43765503,GCA_043904865.1,2010,S,R,R,I,
SAMN43765565,GCA_043904845.1,2019,R,R,R,R,
SAMN43765564,GCA_043904825.1,2018,R,R,R,R,
SAMN43765563,GCA_043904805.1,2018,I,R,R,R,
SAMN43765562,GCA_043904785.1,2018,R,R,R,R,
SAMN43765561,GCA_043863555.1,2018,R,R,R,S,
SAMN43765560,GCA_043863535.1,2018,I,,R,R,
SAMN43765559,GCA_043863515.1,2018,R,R,R,S,
SAMN43765558,GCA_043863475.1,2018,R,R,R,R,
SAMN43765557,GCA_043863445.1,2018,R,S,,R,
SAMN43765556,GCA_043863495.1,2017,R,R,R,I,
SAMN43765502,GCA_043904745.1,2010,R,S,R,R,
SAMN43765555,GCA_043863365.1,2017,R,,R,R,
SAMN43765554,GCA_043863405.1,2017,R,R,R,S,
SAMN43765553,GCA_043863385.1,2017,R,R,R,R,
SAMN43765552,GCA_043863345.1,2017,I,R,R,S,
SAMN43765551,GCA_043863305.1,2017,R,R,R,S,
SAMN43765550,GCA_043863325.1,2017,R,S,R,S,
SAMN43765549,GCA_043863285.1,2016,R,R,R,S,
SAMN43765548,GCA_043863265.1,2016,I,R,R,R,
SAMN43765547,GCA_043863225.1,2016,R,R,R,R,
SAMN43765546,GCA_043863245.1,2016,R,R,R,S,
SAMN43765501,GCA_043863205.1,2010,S,S,,R,
SAMN43765545,GCA_043863185.1,2016,R,R,R,R,
SAMN43765544,GCA_043863165.1,2016,R,R,R,R,
SAMN43765543,GCA_043863145.1,2016,R,R,R,S,
SAMN43765542,GCA_043863125.1,2016,R,,R,S,
SAMN43765541,GCA_043863025.1,2015,S,R,R,S,
SAMN43765540,GCA_043863045.1,2015,I,R,R,I,
SAMN43765539,GCA_043863105.1,2015,R,R,R,S,
SAMN43765538,GCA_043863065.1,2015,I,S,R,R,
SAMN43765537,GCA_043863085.1,2015,I,R,R,R,
SAMN43765536,GCA_043861665.1,2015,I,R,R,R,
SAMN43765500,GCA_043861595.1,2010,S,R,,R,
SAMN43765535,GCA_043861645.1,2015,S,R,R,R,
SAMN43765534,GCA_043861575.1,2015,I,R,R,R,
SAMN43765533,GCA_043860495.1,2015,R,R,R,R,
SAMN43765532,GCA_043860455.1,2015,R,R,R,R,
SAMN43765531,GCA_043860435.1,2014,R,S,R,R,
SAMN43765530,GCA_043860375.1,2014,S,R,R,I,
SAMN43765529,GCA_043860395.1,2014,I,R,R,R,
SAMN43765528,GCA_043860255.1,2014,R,R,R,S,
SAMN43765527,GCA_043860235.1,2014,S,R,R,R,
SAMN43765526,GCA_043860195.1,2014,S,S,S,R,
SAMN43765499,GCA_043860075.1,2010,S,R,R,R,
SAMN43765525,GCA_043860055.1,2014,I,R,R,R,
SAMN43765524,GCA_043859975.1,2014,R,S,R,R,
SAMN43765523,GCA_043860015.1,2014,S,S,R,R,
SAMN43765522,GCA_043859995.1,2013,S,S,S,S,
SAMN43765521,GCA_043859855.1,2013,S,S,S,S,
SAMN43765520,GCA_043859835.1,2013,S,R,R,R,
SAMN43765519,GCA_043859795.1,2013,R,R,R,R,
SAMN43765518,GCA_043859815.1,2013,S,S,S,S,
SAMN43765517,GCA_043859735.1,2013,S,R,R,R,
SAMN43765516,GCA_043859655.1,2013,R,R,R,S,
SAMN43765498,GCA_043859635.1,2009,S,R,R,R,
SAMN43765515,GCA_043859495.1,2013,S,S,,R,
SAMN43765514,GCA_043859615.1,2013,R,R,R,I,
SAMN43765513,GCA_043859485.1,2012,S,R,R,R,
SAMN43765512,GCA_043859365.1,2012,S,R,S,R,
SAMN43765511,GCA_043859275.1,2012,R,R,R,S,
SAMN43765510,GCA_043859285.1,2012,R,R,R,R,
SAMN43765509,GCA_043859305.1,2012,S,R,R,R,
SAMN43765508,GCA_043859295.1,2011,S,R,R,R,
SAMN43765507,GCA_043858445.1,2011,R,R,R,I,
SAMN43765506,GCA_043858225.1,2011,R,R,R,R,
SAMN43765497,GCA_043858235.1,2009,S,R,R,R,
SAMN43765496,GCA_043858345.1,2005,R,R,R,R,
SAMN45204779,GCA_048758935.1,NULL,S,R,S,R,S
SAMN45204775,GCA_048585905.1,NULL,S,R,R,R,S
SAMN45204778,GCA_048585925.1,NULL,S,R,R,R,S
SAMN45204774,GCA_048585985.1,NULL,S,R,R,R,S
SAMN45204773,GCA_048586005.1,NULL,S,R,S,R,S
SAMN45204772,GCA_048586025.1,NULL,S,R,S,R,S
SAMN45204770,GCA_048586065.1,NULL,S,R,R,R,S
SAMN45204769,GCA_048586085.1,NULL,S,R,R,R,S
SAMN45204767,GCA_048586145.1,NULL,S,R,I,R,S
SAMN45204768,GCA_048586165.1,NULL,S,R,R,R,S
SAMN45204737,GCA_048586715.1,NULL,S,R,S,R,S
SAMN45204734,GCA_048586775.1,NULL,S,S,S,S,S
SAMN45204733,GCA_048586825.1,NULL,S,R,R,R,S
SAMN45204730,GCA_048586815.1,NULL,S,S,S,S,S
SAMN45204728,GCA_048586885.1,NULL,S,S,S,S,S
SAMN45204726,GCA_048586925.1,NULL,S,R,S,R,S
SAMN45204723,GCA_048586975.1,NULL,S,R,R,R,S
SAMN45204722,GCA_048587035.1,NULL,S,R,S,R,S
SAMN45204716,GCA_048587115.1,NULL,S,R,S,R,S
SAMN45204715,GCA_048587135.1,NULL,S,R,S,R,S
SAMN45204713,GCA_048587155.1,NULL,S,S,S,R,S
SAMN45204712,GCA_048587165.1,NULL,S,R,S,R,S
SAMN45204714,GCA_048587195.1,NULL,S,R,S,R,S
SAMN45204711,GCA_048587215.1,NULL,S,S,R,R,S
SAMN45204724,GCA_048586965.1,NULL,S,R,R,R,S
SAMN45204710,GCA_048587265.1,NULL,S,I,R,R,S
SAMN45204708,GCA_048587285.1,NULL,S,R,S,R,S
SAMN45204707,GCA_048587305.1,NULL,S,R,S,S,S
SAMN45204703,GCA_048589085.1,NULL,S,R,S,R,S
SAMN45204701,GCA_048589105.1,NULL,S,R,R,R,S
SAMN45204702,GCA_048589125.1,NULL,S,R,S,R,S
SAMN45204696,GCA_048589205.1,NULL,S,S,S,S,S
SAMN45204686,GCA_048589425.1,NULL,S,R,S,R,S
SAMN45204673,GCA_048589625.1,NULL,S,R,R,R,S
SAMN45204667,GCA_048589765.1,NULL,S,R,S,R,S
SAMN45204659,GCA_048589945.1,NULL,S,R,S,R,S
SAMN45204650,GCA_048590105.1,NULL,S,R,S,R,S
SAMN46841726,GCA_049381385.1,2023-09-04,R,R,R,,
SAMN46841723,GCA_049381405.1,2022-08-09,R,R,R,,
SAMN41136771,GCA_049381505.1,2023-08-31,DD,S,S,,
SAMN46841716,GCA_049381525.1,2022-09-23,R,R,R,,
SAMN41136748,GCA_049383205.1,2022-09-23,R,S,R,,
SAMN41136751,GCA_049383265.1,2023-01-31,R,R,R,,
SAMN41136750,GCA_049383285.1,2022-09-23,S,R,S,,
SAMN41136744,GCA_049383325.1,2022-09-23,R,S,R,,
SAMN41136776,GCA_049383445.1,2023-08-09,R,R,R,,
SAMN46841724,GCA_049383765.1,2022-08-18,R,S,R,,
SAMN41136756,GCA_049383845.1,2023-01-31,S,S,S,,
SAMN41136762,GCA_049383885.1,2023-06-19,S,S,S,,
SAMN41136745,GCA_049383925.1,2022-09-23,R,S,R,,
SAMN41136755,GCA_049383945.1,2023-01-31,S,S,S,,
SAMN41136747,GCA_049383965.1,2022-09-23,R,S,R,,
SAMN41136746,GCA_049383985.1,2022-09-23,R,R,R,,
SAMN46841725,GCA_049538175.1,2023-08-09,R,R,R,,
SAMN41136774,GCA_049538195.1,2023-05-28,R,S,R,,
SAMN41136772,GCA_049538215.1,2023-01-19,R,R,R,,
SAMN46841722,GCA_049538235.1,2023-06-01,R,R,R,,
SAMN41136752,GCA_049538255.1,2023-01-31,R,R,R,,
SAMN46558901,GCA_050956655.1,2023-02,R,R,,,
SAMN46558900,GCA_050956725.1,2021-04,R,R,,,
SAMN46558890,GCA_050956905.1,2023-01,R,R,,,
SAMN46558889,GCA_050956915.1,2022-06,R,R,,,
SAMN46558888,GCA_050956945.1,2022-11,R,R,,,
SAMN46558887,GCA_050956965.1,2021-03,R,R,,,
SAMN46558885,GCA_050957005.1,2020-09,R,R,,,
SAMN46558884,GCA_050957025.1,2019-07,R,R,,,
SAMN46558240,GCA_050957305.1,2023-02,R,R,,,
SAMN46558234,GCA_050957455.1,2023-03,R,R,,,
SAMN46558233,GCA_050957505.1,2022-04,R,R,,,
SAMN46558231,GCA_050957565.1,2021-11,R,R,,,
SAMN46778011,GCA_051414815.1,2020,R,ND,S,,ND
SAMN46778010,GCA_051414825.1,2021,R,ND,R,,ND
SAMN46778009,GCA_051414835.1,2021,R,ND,S,,ND
SAMN46544991,GCA_051549635.1,2022-07,R,R,,,
SAMN46544984,GCA_051549675.1,2023-01,R,R,,,
SAMN46544983,GCA_051549695.1,2022-10,R,R,,,
SAMN46544982,GCA_051549705.1,2022-09,R,R,,,
SAMN46544980,GCA_051549725.1,2020-03,R,R,,,
SAMN46544979,GCA_051549735.1,2019-05,R,R,,,
SAMN46544977,GCA_051549765.1,2020-10,R,R,,,
SAMN48878279,GCA_059056715.1,2023-05-24,S,,S,S,
SAMN48878274,GCA_053676955.1,2023-05-27,S,,S,S,
SAMN48878273,GCA_053676935.1,2023-05-28,S,,S,S,
SAMN48878217,GCA_059056525.1,2023-05-18,S,,S,S,
SAMN48878213,GCA_053676755.1,2023-05-14,S,,S,S,
SAMN48878212,GCA_053676735.1,2023-05-18,S,,S,S,
SAMN48878211,GCA_053676695.1,2023-05-19,,,S,S,
SAMN48878203,GCA_053676635.1,2023-05-19,,,S,S,
SAMN48878895,GCA_059056315.1,2023-08-01,S,,S,S,
SAMN48878822,GCA_053676235.1,2023-07-28,,,S,R,
SAMN48878819,GCA_053676155.1,2023-07-27,,,S,S,
SAMN48878817,GCA_053676115.1,2023-07-25,S,,S,S,
SAMN48878654,GCA_053675635.1,2023-06-29,S,,S,S,
SAMN48878645,GCA_053675525.1,2023-07-09,,,S,S,
SAMN48878077,GCA_053675375.1,2023-05-02,S,,S,S,
SAMN48878565,GCA_053651995.1,2023-07-01,S,,R,R,
SAMN48878557,GCA_053675215.1,2023-06-25,,,S,S,
SAMN48878551,GCA_059055845.1,2023-06-26,,,S,S,
SAMN48878483,GCA_053653095.1,2023-06-20,,,S,S,
SAMN48878480,GCA_059055785.1,2023-06-19,,,S,S,
SAMN48878473,GCA_053675015.1,2023-06-19,,,R,R,
SAMN48878055,GCA_059055675.1,2023-04-30,,,S,S,
SAMN48878019,GCA_053674755.1,2023-04-30,,,S,S,
SAMN48878412,GCA_053674735.1,2023-06-06,S,,,R,
SAMN48878353,GCA_053674575.1,2023-06-07,,,S,S,
SAMN48878346,GCA_053674495.1,2023-06-03,S,,S,S,
SAMN48878340,GCA_058476015.1,2023-05-29,S,,S,S,
SAMN48878152,GCA_053674255.1,2023-05-11,,,R,R,
SAMN48878151,GCA_059055335.1,2023-05-07,,,R,R,
SAMN48878144,GCA_053674155.1,2023-05-13,,,R,R,
SAMN48878141,GCA_053674075.1,2023-05-13,,,S,S,
SAMN48878956,GCA_053673975.1,2023-08-09,,,S,S,
SAMN48878952,GCA_059055135.1,2023-08-08,,,S,S,
SAMN48878940,GCA_053651855.1,2023-08-03,S,,S,S,
SAMN48878860,GCA_053673575.1,2023-07-27,,,S,S,
SAMN48878855,GCA_053673515.1,2023-07-29,S,,S,S,
SAMN48878775,GCA_053673355.1,2023-07-18,S,,S,R,
SAMN48878774,GCA_059054855.1,2023-07-18,S,,R,R,
SAMN48878693,GCA_053673215.1,2023-07-09,S,,S,S,
SAMN48878683,GCA_053673155.1,2023-07-10,S,,R,R,
SAMN48878612,GCA_053673055.1,2023-07-03,S,,R,S,
SAMN48878611,GCA_053673035.1,2023-07-06,,,S,S,
SAMN48878608,GCA_053673015.1,2023-07-05,,,S,S,
SAMN48878525,GCA_053657175.1,2023-06-24,,,S,S,
SAMN48878326,GCA_053649715.1,2023-06-01,S,,R,R,
SAMN48878319,GCA_053672495.1,2023-05-31,,,R,S,
SAMN48878318,GCA_053672455.1,2023-05-31,,,R,R,
SAMN48878315,GCA_053672395.1,2023-05-31,S,,S,S,
SAMN48878265,GCA_053672295.1,2023-05-24,,,R,S,
SAMN48878256,GCA_053672175.1,2023-05-23,S,,S,S,
SAMN48878251,GCA_053672135.1,2023-05-20,,,S,S,
SAMN48878247,GCA_053672095.1,2023-05-22,,,S,S,
SAMN48878199,GCA_053672015.1,2023-05-20,,,S,S,
SAMN48878193,GCA_053651555.1,2023-05-17,S,,I,S,
SAMN48878935,GCA_053671655.1,2023-08-08,,,S,S,
SAMN48878930,GCA_053671575.1,2023-08-07,S,,S,S,
SAMN48878929,GCA_053656855.1,2023-08-04,S,,S,S,
SAMN48878841,GCA_053656735.1,2023-07-28,,,I,S,
SAMN48878834,GCA_059053025.1,2023-07-28,S,,I,S,
SAMN48878754,GCA_059052895.1,2023-07-18,,,S,S,
SAMN48878748,GCA_053668295.1,2023-07-18,S,,R,R,
SAMN48878080,GCA_053667985.1,2023-05-04,,,S,S,
SAMN48878656,GCA_053655205.1,2023-07-07,S,,R,S,
SAMN48878586,GCA_053667685.1,2023-06-30,S,,S,R,
SAMN48878583,GCA_053651155.1,2023-06-30,,,R,S,
SAMN48878581,GCA_053667645.1,2023-07-02,S,,S,S,
SAMN48878572,GCA_053667375.1,2023-06-28,,,S,R,
SAMN48878571,GCA_053667335.1,2023-06-26,S,,S,S,
SAMN48878570,GCA_053667315.1,2023-06-28,S,,S,R,
SAMN48878500,GCA_053666355.1,2023-06-22,,,S,S,
SAMN48878063,GCA_053651235.1,2023-05-04,,,R,R,
SAMN48878424,GCA_053665815.1,2023-06-14,S,,S,S,
SAMN48878051,GCA_053665695.1,2023-05-01,,,R,S,
SAMN48878364,GCA_059052085.1,2023-06-07,,,S,S,
SAMN48878309,GCA_053667075.1,2023-05-29,,,S,S,
SAMN48878301,GCA_053665235.1,2023-05-29,,,S,S,
SAMN48878290,GCA_059051875.1,2023-05-28,,,R,R,
SAMN48878038,GCA_059051745.1,2023-05-01,S,,S,S,
SAMN48878226,GCA_053664175.1,2023-05-27,S,,S,S,
SAMN48878173,GCA_059051585.1,2023-05-16,,,S,S,
SAMN48878966,GCA_053656355.1,2023-08-10,,,S,S,
SAMN48878959,GCA_053666855.1,2023-08-10,,,S,S,
SAMN48878891,GCA_053656315.1,2023-07-30,S,,R,R,
SAMN48878879,GCA_053664755.1,2023-07-26,,,S,S,
SAMN48878805,GCA_053670875.1,2023-07-27,S,,S,S,
